engine_id,avg_degradation_temp,avg_pressure,total_cycles,mean_rul,min_rul,op_cycles,lean_priority,priority_rank
25,642.785347826087,1411.484,230,114.5,0,230,Low - Extend Interval,3
48,642.4741558441558,1404.205670995671,231,115.0,0,231,Low - Extend Interval,3
59,642.4403896103896,1404.1971428571428,231,115.0,0,231,Low - Extend Interval,3
78,642.4267965367965,1403.716233766234,231,115.0,0,231,Low - Extend Interval,3
20,642.8553846153847,1412.7037606837607,234,116.5,0,234,Low - Extend Interval,3
31,642.4909401709402,1405.2348717948719,234,116.5,0,234,Low - Extend Interval,3
11,642.5011666666667,1404.5196666666668,240,119.5,0,240,Low - Extend Interval,3
81,642.804625,1410.8911666666668,240,119.5,0,240,Low - Extend Interval,3
46,642.4746484375,1405.2910546875,256,127.5,0,256,Low - Extend Interval,3
54,642.4784824902724,1404.707120622568,257,128.0,0,257,Low - Extend Interval,3
94,642.8637209302325,1413.2953100775194,258,128.5,0,258,Low - Extend Interval,3
7,642.5633204633205,1406.577335907336,259,129.0,0,259,Low - Extend Interval,3
84,642.9251685393258,1414.167265917603,267,133.0,0,267,Low - Extend Interval,3
5,642.451970260223,1404.87843866171,269,134.0,0,269,Low - Extend Interval,3
56,642.8983272727273,1413.2729454545454,275,137.0,0,275,Low - Extend Interval,3
17,642.5187318840581,1404.9502536231885,276,137.5,0,276,Low - Extend Interval,3
86,642.77,1411.0537769784173,278,138.5,0,278,Low - Extend Interval,3
64,642.7676325088339,1410.952332155477,283,141.0,0,283,Low - Extend Interval,3
95,642.4703533568904,1404.808551236749,283,141.0,0,283,Low - Extend Interval,3
2,642.4352264808363,1404.2658536585366,287,143.0,0,287,Low - Extend Interval,3
83,642.424266211604,1403.9166211604095,293,146.0,0,293,Low - Extend Interval,3
67,642.7290095846645,1409.8921405750798,313,156.0,0,313,Low - Extend Interval,3
96,642.6298214285714,1407.8899702380954,336,167.5,0,336,Low - Extend Interval,3
92,642.6514076246334,1408.566246334311,341,170.0,0,341,Low - Extend Interval,3
69,642.6770994475138,1409.2203038674033,362,180.5,0,362,Low - Extend Interval,3
